rollout/episode_reward_height_coverage,rollout/episode_length,time/time_elapsed,rollout/episode_reward_sum,time/fps,time/iterations,time/rollout,rollout/episode_reward_short_path,time/total_timesteps,train/clip_range_vf,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl,time/training,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss
0.9101,19.6536,447,18.1511,426,45,9.60079288482666,-0.5017,184320,0.2,0.0001,0.3790015243902439,0.2,220,0.057615247,0.4141113758087158,6.925736904144287,-16.46062883516637,-0.004096138858940543,0.26590365171432495,16.382728925565395
0.9107,19.8483,458,18.1702,423,46,9.680827856063843,-0.4338,188416,0.2,0.0001,0.3591452205882353,0.2,225,0.06316492,0.7154910564422607,4.487502574920654,-16.607658498427448,-0.02466505259165869,0.2508145570755005,13.151346501182108
0.9099,19.6027,468,18.1492,423,47,9.673171758651733,-0.4881,192512,0.2,0.0001,0.35756340579710144,0.2,230,0.06360568,0.7037229537963867,9.917203903198242,-16.589068785957668,-0.027445817460724407,0.255537211894989,15.056156013322914
0.9093,18.7964,478,18.1562,417,48,9.812017440795898,-0.3034,196608,0.2,0.0001,0.33630087209302323,0.2,235,0.05996783,0.451601505279541,6.236147880554199,-16.36900302975677,-0.0048865949041968166,0.25114887952804565,12.259325016376584
0.9092,18.9389,489,18.158,415,49,9.856202363967896,-0.2519,200704,0.2,0.0001,0.3185267857142857,0.2,240,0.069476254,0.3612239360809326,5.959629058837891,-16.38065697806222,0.005667334023330893,0.2549958825111389,14.767628465379987
0.9102,18.9424,499,18.1536,414,50,9.88982081413269,-0.4978,204800,0.2,0.0001,0.3627403846153846,0.2,245,0.085127994,0.6739821434020996,7.4321818351745605,-16.346519763653095,-0.025978733627842022,0.2223893404006958,14.053018085773175
0.9113,19.2548,510,18.2028,416,51,9.82271146774292,-0.223,208896,0.2,0.0001,0.3413783482142857,0.2,250,0.057218578,0.6028246879577637,12.482686996459961,-16.26430106163025,-0.018307536441300596,0.2602934241294861,14.120240322181157
0.91,19.7851,520,18.1261,419,52,9.756252527236938,-0.7417,212992,0.2,0.0001,0.3487338362068966,0.2,255,0.056726895,0.6195878982543945,7.47177267074585,-16.301381341342267,-0.018667785531102585,0.2539283037185669,13.56626822208536
0.9095,19.3897,530,18.1394,420,53,9.72933053970337,-0.5048,217088,0.2,0.0001,0.3501918859649123,0.2,260,0.05219363,0.5914599895477295,9.363850593566895,-16.409540444089654,-0.01969668196448893,0.25964587926864624,14.344706016674376
0.9102,18.9274,541,18.1639,421,54,9.70813775062561,-0.4061,221184,0.2,0.0001,0.25223214285714285,0.2,265,0.062725,0.39162111282348633,11.377717971801758,-16.241279438563755,0.000599096662231854,0.24543499946594238,13.392754404885428
